,WELLNUM,DEPTH,DTC,DTS,BS,CALI,DEN,DENC,GR,NEU,PEF,RDEP,RMED,ROP,PHIF,SW,VSH
131677,4,646.3254,,,,,,,,,,,,,,,
131678,4,646.6536,,,,,,,,,,,,,,,
131679,4,646.9816,,,,,,,,,,,,,,,
131680,4,647.3097,,,,,,,,,,,,,,,
131681,4,647.6378,,,,,,,,,,,,,,,
131682,4,647.9659,,,,,,,,,,,,,,,
131683,4,648.2939,,,,,,,,,,,,,,,
131684,4,648.6221,,,,,,,,,,,,,,,
131685,4,648.9501,,,,,,,,,,,,,,,
131686,4,649.2782,,,,,,,3.7233,,,,,,,,
131687,4,649.6063,,,,,,,4.2916,,,,,,,,
131688,4,649.9344,,,,,,,4.5225,,,,,,,,
131689,4,650.2625,,,,,,,3.929,,,,,,,,
131690,4,650.5906,,,,,,,3.4818,,,,,,,,
131691,4,650.9186,,,,,,,3.5334,,,,,,,,
131692,4,651.2467,,,,,,,4.316,,,,,,,,
131693,4,651.5748,,,,,,,4.7421,,,,,,,,
131694,4,651.9029,,,,,,,3.6747,,,,,,,,
131695,4,652.231,,,,,,,3.5141,,,,,,,,
131696,4,652.5591,,,,,,,3.1187,,,,,,,,
131697,4,652.8871,,,,,,,2.9731,,,,,,,,
131698,4,653.2152,,,,,,,2.9673,,,,,,,,
131699,4,653.5433,,,,,,,2.3821,,,,,,,,
131700,4,653.8714,,,,,,,2.3225,,,,,,,,
131701,4,654.1995,,,,,,,2.5611,,,,,,,,
131702,4,654.5276,,,,,,,2.7604,,,,,,,,
131703,4,654.8557,,,,,,,2.6355,,,,,,,,
131704,4,655.1837,,,,,,,2.286,,,,,,,,
131705,4,655.5118,,,,,,,2.4012,,,,,,,,
131706,4,655.8399,,,,,,,2.272,,,,,,,,
131707,4,656.168,,,,,,,2.3265,,,,,,,,
131708,4,656.496,,,,,,,2.1342,,,,,,,,
131709,4,656.8242,,,,,,,2.041,,,,,,,,
131710,4,657.1522,,,,,,,1.6879,,,,,,,,
131711,4,657.4803,,,,,,,1.5289,,,,,,,,
131712,4,657.8084,,,,,,,1.6091,,,,,,,,
131713,4,658.1365,,,,,,,1.7032,,,,,,,,
131714,4,658.4645,,,,,,,1.3687,,,,,,,,
131715,4,658.7927,,,,,,,1.0959,,,,,,,,
131716,4,659.1207,,,,,,,0.9726,,,,,,,,
131717,4,659.4488,,,,,,,0.9485,,,,,,,,
131718,4,659.7769,,,,,,,0.7982,,,,,,,,
131719,4,660.105,,,,,,,0.5381,,,,,,,,
131720,4,660.433,,,,,,,0.2969,,,,,,,,
131721,4,660.7612,,,,,,,0.1488,,,,,,,,
131722,4,661.0892,,,,,,,0.2414,,,,,,,,
131723,4,661.4173,,,,,,,0.6243,,,,,,,,
131724,4,661.7454,,,,,,,0.8039,,,,,,,,
131725,4,662.0735,,,,,,,1.2543,,,,,,,,
131726,4,662.4016,,,,,,,1.3023,,,,,,,,
131727,4,662.7297,,,,,,,1.5804,,,,,,,,
131728,4,663.0577,,,,,,,1.8012,,,,,,,,
131729,4,663.3858,,,,,,,2.1594,,,,,,,,
131730,4,663.7139,,,,,,,2.245,,,,,,,,
131731,4,664.042,,,,,,,2.2008,,,,,,,,
131732,4,664.3701,,,,,,,2.2498,,,,,,,,
131733,4,664.6982,,,,,,,2.4849,,,,,,,,
131734,4,665.0262,,,,,,,2.9808,,,,,,,,
131735,4,665.3543,,,,,,,3.351,,,,,,,,
131736,4,665.6824,,,,,,,3.7232,,,,,,,,
131737,4,666.0105,,,,,,,4.1227,,,,,,,,
131738,4,666.3386,,,,,,,4.2129,,,,,,,,
131739,4,666.6667,,,,,,,4.084,,,,,,,,
131740,4,666.9948,,,,,,,4.4887,,,,,,,,
131741,4,667.3228,,,,,,,4.5396,,,,,,,,
131742,4,667.6509,,,,,,,4.6557,,,,,,,,
131743,4,667.979,,,,,,,4.9319,,,,,,,,
131744,4,668.3071,,,,,,,5.0257,,,,,,,,
131745,4,668.6352,,,,,,,4.842,,,,,,,,
