,WELLNUM,DEPTH,DTC,DTS,BS,CALI,DEN,DENC,GR,NEU,PEF,RDEP,RMED,ROP,PHIF,SW,VSH
95725,2,11017.06,86.5686,164.5779,8.5,8.625,2.5211,0.0622,98.3904,0.4219,0.0622,1.858,1.8129,26.81,,,0.468
95726,2,11017.39,87.6276,167.216,8.5,8.625,2.4773,0.0644,101.495,0.4566,0.0644,1.8608,1.8223,26.8032,,,0.4843
95727,2,11017.72,89.296,170.2162,8.5,8.625,2.4273,0.0638,107.075,0.4841,0.0638,1.8617,1.8293,26.7965,,,0.5135
95728,2,11018.04,90.9643,173.2165,8.5,8.625,2.3776,0.0599,120.389,0.5056,0.0599,1.8854,1.8929,26.8998,,,0.5832
95729,2,11018.37,92.6899,176.1973,8.5,8.625,2.3316,0.053,137.57,0.5209,0.053,1.893,1.9049,27.0031,,,0.6731
95730,2,11018.7,94.7805,179.0538,8.5,8.6484,2.2941,0.0448,156.471,0.5315,0.0448,1.9355,2.0125,27.1064,,,0.7721
95731,2,11019.03,96.8711,181.9102,8.5,8.6719,2.267,0.0377,174.239,0.54,0.0377,1.9916,2.1392,27.1533,,,0.8651
95732,2,11019.36,98.9331,184.7123,8.5,8.6719,2.2509,0.0337,197.824,0.5432,0.0337,2.0189,2.1161,27.2002,,,0.9886
95733,2,11019.68,100.697,186.9466,8.5,8.625,2.2428,0.0331,222.04,0.5465,0.0331,1.9875,1.9833,27.2472,,,1.0
95734,2,11020.01,102.46,189.1808,8.5,8.6484,2.2389,0.0343,233.839,0.5445,0.0343,1.8866,1.7758,27.2936,,,1.0
95735,2,11020.34,104.201,191.3748,8.5,8.6719,2.2353,0.0356,245.481,0.544,0.0356,1.8534,1.6692,27.3401,,,1.0
95736,2,11020.67,105.4,192.5892,8.5,8.6484,2.2304,0.0357,260.712,0.5414,0.0357,1.9172,1.7352,27.3866,,,1.0
95737,2,11021.0,106.599,193.8036,8.5,8.6719,2.225,0.0349,272.986,0.5295,0.0349,2.1295,2.1994,27.3058,,,1.0
95738,2,11021.33,107.808,195.0284,8.5,8.6719,2.2214,0.0342,283.665,0.5198,0.0342,2.3105,2.6732,27.2251,,,1.0
95739,2,11021.65,108.425,195.3568,8.5,8.6719,2.2212,0.0346,285.555,0.5148,0.0346,2.3357,2.6989,27.1443,,,1.0
95740,2,11021.98,109.048,195.6881,8.5,8.6719,2.2242,0.0363,286.536,0.5123,0.0363,2.3418,2.6648,27.2133,,,1.0
95741,2,11022.31,109.67,196.0193,8.5,8.7031,2.229,0.0384,290.345,0.5075,0.0384,2.3641,2.6527,27.2823,,,1.0
95742,2,11022.64,110.395,195.6767,8.5,8.6719,2.2339,0.0394,291.127,0.4989,0.0394,2.3668,2.6019,27.3513,,,1.0
95743,2,11022.97,111.125,195.2936,8.5,8.6719,2.2385,0.039,296.215,0.4905,0.039,2.3397,2.5474,27.3587,,,1.0
95744,2,11023.29,111.856,194.9105,8.5,8.6719,2.2429,0.0376,299.638,0.4837,0.0376,2.3678,2.5234,27.3661,,,1.0
95745,2,11023.62,111.766,194.2449,8.5,8.6719,2.2469,0.0364,302.205,0.4771,0.0364,2.4996,2.7491,27.3735,,,1.0
95746,2,11023.95,111.581,193.5463,8.5,8.6719,2.2492,0.0359,307.587,0.4707,0.0359,2.7044,3.274,27.3785,,,1.0
95747,2,11024.28,111.396,192.8477,8.5,8.6719,2.2495,0.0356,314.305,0.4639,0.0356,2.752,3.3889,27.3835,,,1.0
95748,2,11024.61,111.739,192.2762,8.5,8.6719,2.2489,0.0351,315.144,0.4578,0.0351,2.7608,3.3518,27.3884,,,1.0
95749,2,11024.93,112.176,191.7275,8.5,8.6719,2.2493,0.0343,315.31,0.455,0.0343,2.8408,3.6464,27.3934,,,1.0
95750,2,11025.26,112.614,191.1788,8.5,8.6484,2.2513,0.0334,312.674,0.4586,0.0334,2.9419,3.8779,27.3983,,,1.0
95751,2,11025.59,112.262,191.1445,8.5,8.6719,2.254,0.0324,311.521,0.4627,0.0324,2.9535,3.7392,27.4033,,,1.0
95752,2,11025.92,111.712,191.2392,8.5,8.6719,2.2572,0.032,312.481,0.4747,0.032,2.85,3.4098,27.3835,,,1.0
95753,2,11026.25,111.162,191.3339,8.5,8.6719,2.261,0.0324,316.282,0.4896,0.0324,2.9207,3.6649,27.3637,,,1.0
